DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
02-May-2025,264,270.99,264,266.92,"42,723",5.56
05-May-2025,267,268,263.01,266.47,"12,771",-0.45
06-May-2025,266,268,264,264.78,"12,923",-1.69
07-May-2025,255.01,259.98,243.01,250.35,"25,675",-14.43
08-May-2025,250.36,257,225.32,226.92,"53,518",-23.43
09-May-2025,233.9,233.9,221,231.94,"34,522",5.02
12-May-2025,250,255.13,249,255.13,"51,839",23.19
13-May-2025,258.99,260,252,257,"26,659",1.87
14-May-2025,258.99,259.99,251,254.66,"46,873",-2.34
15-May-2025,254.66,280.13,254.66,280.13,"216,590",25.47
16-May-2025,280.99,286,277,277.67,"92,910",-2.46
19-May-2025,278.51,281.99,270,275.01,"15,855",-2.66
20-May-2025,274.55,274.55,270,271.81,"12,545",-3.2
21-May-2025,272,274.99,270.51,273.84,"14,500",2.03
22-May-2025,274.99,277.99,256.01,269.85,"28,076",-3.99
23-May-2025,267.9,269,265,266.31,"11,685",-3.54
26-May-2025,269.99,269.99,265,267.68,"9,301",1.37
27-May-2025,267,282.95,267,272.39,"43,313",4.71
29-May-2025,273.2,281.5,273.2,275.87,"44,340",3.48
30-May-2025,279.92,279.92,275,276.15,"14,604",0.28
02-Jun-2025,279,279,274,274.48,"13,697",-1.67
03-Jun-2025,275,278.75,274.45,275.55,"10,465",1.07
04-Jun-2025,275.01,277.5,274.01,274.69,"11,838",-0.86
05-Jun-2025,276,277.89,275,275.63,"10,611",0.94
10-Jun-2025,278.99,280,275,277.4,"29,113",1.77
11-Jun-2025,281,281,276,277.66,"37,470",0.26
12-Jun-2025,280,282.9,275.5,276.27,"35,061",-1.39
13-Jun-2025,275,275,266.01,270.66,"16,594",-5.61
16-Jun-2025,271.98,272.99,270,270.06,"8,698",-0.6
17-Jun-2025,270.7,272.99,270.7,271.85,"8,325",1.79
18-Jun-2025,271.99,271.99,266.01,268.56,"16,110",-3.29
19-Jun-2025,271,273,270,270.04,"25,915",1.48
20-Jun-2025,270.04,272.99,265.01,269.77,"5,699",-0.27
23-Jun-2025,265.01,269,256.22,260.67,"18,549",-9.1
24-Jun-2025,262.5,272.5,262.5,269.34,"14,464",8.67
25-Jun-2025,271.9,276,266.01,271.29,"20,566",1.95
26-Jun-2025,271.29,273.89,268,268.71,"7,589",-2.58
27-Jun-2025,268.73,273.89,268.12,270.85,"12,999",2.14
30-Jun-2025,269.01,272.98,269.01,272.06,"30,041",1.21
01-Jul-2025,273.98,299.26,273.98,298.67,"239,914",26.61
02-Jul-2025,304,306.89,290,295.43,"179,236",-3.24
