DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
02-May-2025,129.9,132,119,131.02,"3,267",3.2
05-May-2025,131.88,133,130.02,133,"2,380",1.98
06-May-2025,134,136,132,135.15,"6,695",2.15
07-May-2025,125.01,133,125.01,131.04,"2,258",-4.11
08-May-2025,132,132.99,117.94,118.83,"11,207",-12.21
09-May-2025,121,126,114.01,125.01,"2,806",6.18
12-May-2025,137,137,132,135.34,"3,899",10.33
13-May-2025,135.99,135.99,132,134.53,"1,640",-0.81
14-May-2025,134.53,135.9,134,134.07,"2,919",-0.46
15-May-2025,135.89,135.9,132,132.16,"1,276",-1.91
16-May-2025,135.02,135.02,133,133.02,"2,501",0.86
19-May-2025,136,136,133.4,134.44,"3,313",1.42
20-May-2025,135,135,133,133.07,"3,895",-1.37
21-May-2025,134.5,135.9,133.1,133.87,"3,483",0.8
22-May-2025,133.1,134.9,133.1,133.12,"5,084",-0.75
23-May-2025,133,135,133,133.51,"5,569",0.39
26-May-2025,134.5,134.5,133.25,133.62,"11,062",0.11
27-May-2025,135,135,133.25,134.02,"3,451",0.4
29-May-2025,134,135,132.1,134.5,"5,725",0.48
30-May-2025,135.5,135.5,133.51,133.57,"5,757",-0.93
02-Jun-2025,135.5,137,133.5,136.53,"8,272",2.96
03-Jun-2025,136,136,134.49,134.72,"6,815",-1.81
04-Jun-2025,135,136.8,134.3,135.12,"2,546",0.4
05-Jun-2025,135.01,135.25,134.1,134.99,"6,994",-0.13
10-Jun-2025,134.65,135.9,133,134.86,"4,011",-0.13
11-Jun-2025,134.51,136,134.17,135.5,"7,775",0.64
12-Jun-2025,135,135.9,134,134.52,"7,257",-0.98
13-Jun-2025,134,136.99,132,133.07,"6,451",-1.45
16-Jun-2025,133.62,135,132.01,134.65,"3,836",1.58
17-Jun-2025,135,136,135,135.3,"4,062",0.65
18-Jun-2025,135.01,135.99,130,130.35,"14,382",-4.95
19-Jun-2025,134.37,134.37,132,132,"1,422",1.65
20-Jun-2025,132.11,134.99,132,134.99,"2,369",2.99
23-Jun-2025,134,134,129,129.74,"15,408",-5.25
24-Jun-2025,134.8,134.8,130.5,132.99,"3,199",3.25
