DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
02-May-2025,"112,820.07","114,546.87","112,820.07","114,113.93","192,302,344","2,787.36"
05-May-2025,"114,385.61","114,552.20","113,077.66","114,102.23","153,678,242",-11.7
06-May-2025,"114,392.82","115,093.10","113,418.52","113,568.50","165,326,851",-533.73
07-May-2025,"107,007.68","112,457.37","107,007.68","110,009.02","261,520,967","-3,559.48"
08-May-2025,"110,842.45","111,881.02","101,598.90","103,526.81","308,031,081","-6,482.21"
09-May-2025,"103,949.68","107,541.45","102,420.82","107,174.63","238,400,592","3,647.82"
12-May-2025,"117,104.11","117,327.78","115,794.37","117,297.73","345,348,683","10,123.10"
13-May-2025,"120,067.12","120,067.12","116,859.93","118,575.88","366,254,300","1,278.15"
14-May-2025,"118,950.61","119,460.54","118,148.64","118,536.52","273,516,346",-39.36
15-May-2025,"118,871.13","119,990.30","118,871.13","119,961.91","310,688,621","1,425.39"
16-May-2025,"120,292.95","120,506.17","119,541.15","119,649.14","235,070,955",-312.77
19-May-2025,"120,164.33","120,285.54","119,250.67","119,689.63","119,529,211",40.49
20-May-2025,"119,891.16","119,900.37","118,527.09","118,971.12","108,105,159",-718.51
21-May-2025,"119,239.34","120,106.21","119,128.38","119,931.45","280,861,353",960.33
22-May-2025,"120,234.81","120,699.17","119,062.03","119,153.04","223,284,427",-778.41
23-May-2025,"119,214.78","119,542.51","118,665.25","119,102.67","99,798,806",-50.37
26-May-2025,"119,211.88","119,290.94","118,150.27","118,221.12","350,580,876",-881.55
27-May-2025,"118,533.69","118,807.92","118,143.67","118,332.90","414,609,442",111.78
29-May-2025,"118,512.41","119,639.47","118,481.97","118,971.40","315,844,339",638.5
30-May-2025,"119,138.76","119,913.88","118,771.83","119,691.09","211,933,819",719.69
02-Jun-2025,"120,211.57","120,590.77","118,672.84","118,877.80","164,316,082",-813.29
03-Jun-2025,"119,129.51","120,693.83","119,129.51","120,450.87","315,235,806","1,573.07"
04-Jun-2025,"120,954.37","121,882.47","120,896.13","121,798.86","292,413,286","1,347.99"
