DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
02-May-2025,1.85,1.89,1.8,1.85,"79,776",0.08
05-May-2025,1.88,1.88,1.8,1.85,"42,892",0
06-May-2025,1.87,1.9,1.82,1.88,"266,004",0.03
07-May-2025,1.77,1.82,1.7,1.72,"225,736",-0.16
08-May-2025,1.88,1.88,1.47,1.5,"1,272,975",-0.22
09-May-2025,1.42,1.63,1.42,1.51,"441,053",0.01
12-May-2025,1.79,1.89,1.71,1.86,"687,543",0.35
13-May-2025,1.89,1.89,1.72,1.82,"234,273",-0.04
14-May-2025,1.76,1.94,1.73,1.8,"170,923",-0.02
15-May-2025,1.89,1.91,1.8,1.83,"288,749",0.03
16-May-2025,1.89,1.9,1.8,1.85,"166,357",0.02
19-May-2025,1.89,1.89,1.81,1.85,"8,360",0
20-May-2025,1.89,1.89,1.8,1.84,"19,367",-0.01
21-May-2025,1.91,1.91,1.7,1.84,"920,567",0
22-May-2025,1.89,1.9,1.82,1.83,"162,419",-0.01
23-May-2025,1.9,2.19,1.77,2.01,"2,154,182",0.18
26-May-2025,2,2.2,2,2.1,"6,823,120",0.09
27-May-2025,2.16,2.16,2.04,2.05,"953,873",-0.05
29-May-2025,2,2.18,1.94,2.09,"3,250,767",0.04
30-May-2025,2.15,2.15,2.05,2.08,"557,419",-0.01
02-Jun-2025,2.14,2.14,2.01,2.08,"653,132",0
03-Jun-2025,2.15,2.15,2.05,2.05,"1,033,272",-0.03
04-Jun-2025,2.13,2.19,2.05,2.13,"1,904,199",0.08
05-Jun-2025,2.18,2.24,2.1,2.12,"1,344,124",-0.01
10-Jun-2025,2.21,2.21,2.09,2.1,"1,037,226",-0.02
11-Jun-2025,2.19,2.41,2.17,2.25,"4,845,633",0.15
12-Jun-2025,2.33,2.34,2.12,2.13,"1,680,701",-0.12
13-Jun-2025,2.13,2.81,2.01,2.71,"27,189,737",0.58
16-Jun-2025,2.75,3.5,2.62,3.21,"56,419,406",0.5
17-Jun-2025,3.48,3.48,3,3.17,"19,795,730",-0.04
18-Jun-2025,3.11,3.12,2.82,2.9,"6,798,309",-0.27
19-Jun-2025,2.8,3.07,2.73,2.8,"5,821,451",-0.1
20-Jun-2025,2.99,2.99,2.54,2.59,"6,212,489",-0.21
23-Jun-2025,2.42,2.71,2.39,2.49,"3,165,216",-0.1
24-Jun-2025,2.79,3.04,2.7,2.81,"5,524,369",0.32
25-Jun-2025,2.7,2.9,2.7,2.72,"2,286,754",-0.09
26-Jun-2025,2.82,2.83,2.65,2.72,"1,699,140",0
27-Jun-2025,2.79,2.8,2.65,2.66,"2,928,441",-0.06
30-Jun-2025,2.74,2.77,2.61,2.66,"2,947,770",0
01-Jul-2025,2.74,2.74,2.63,2.65,"1,101,299",-0.01
02-Jul-2025,2.65,2.74,2.55,2.56,"1,262,580",-0.09
03-Jul-2025,2.63,3,2.55,2.79,"7,331,550",0.23
04-Jul-2025,2.81,2.95,2.65,2.71,"1,281,646",-0.08
07-Jul-2025,2.75,2.81,2.62,2.69,"748,206",-0.02
08-Jul-2025,2.7,2.85,2.61,2.69,"1,557,796",0
09-Jul-2025,2.69,2.8,2.65,2.68,"487,779",-0.01
10-Jul-2025,2.69,2.72,2.61,2.67,"826,274",-0.01
11-Jul-2025,2.72,2.72,2.62,2.64,"272,727",-0.03
14-Jul-2025,2.7,2.99,2.6,2.83,"6,224,520",0.19
15-Jul-2025,2.75,3.15,2.75,2.83,"8,489,971",0
16-Jul-2025,2.9,2.94,2.76,2.79,"1,557,568",-0.04
17-Jul-2025,2.82,2.93,2.82,2.86,"1,517,612",0.07
18-Jul-2025,2.9,2.93,2.75,2.76,"724,147",-0.1
21-Jul-2025,2.71,3.24,2.65,3.14,"8,670,445",0.38
22-Jul-2025,3.23,3.43,3.03,3.07,"10,996,626",-0.07
23-Jul-2025,3.15,3.87,3.08,3.67,"38,368,003",0.6
24-Jul-2025,3.78,4.05,3.3,3.42,"37,109,870",-0.25
25-Jul-2025,3.42,3.57,3.18,3.22,"6,166,532",-0.2
28-Jul-2025,3.35,3.48,3.14,3.28,"2,836,785",0.06
29-Jul-2025,3.31,3.4,3.15,3.16,"1,646,670",-0.12
30-Jul-2025,3.16,3.4,3,3.1,"6,063,606",-0.06
31-Jul-2025,3.05,3.28,3.05,3.15,"2,506,209",0.05
01-Aug-2025,3.15,3.29,3.06,3.17,"2,362,752",0.02
04-Aug-2025,3.22,3.61,3,3.59,"10,955,071",0.42
05-Aug-2025,3.59,3.64,3.42,3.48,"4,496,759",-0.11
06-Aug-2025,3.54,3.54,3.3,3.41,"2,660,538",-0.07
07-Aug-2025,3.52,3.58,3.2,3.36,"1,393,725",-0.05
08-Aug-2025,3.5,3.5,3.25,3.28,"519,386",-0.08
11-Aug-2025,3.45,3.45,3.25,3.26,"737,786",-0.02
12-Aug-2025,3.22,3.36,3.2,3.22,"674,511",-0.04
13-Aug-2025,3.22,3.35,3.21,3.23,"511,666",0.01
15-Aug-2025,3.23,4.15,3.22,3.62,"21,707,355",0.39
18-Aug-2025,3.61,3.61,3.41,3.45,"2,805,705",-0.17
19-Aug-2025,3.47,3.47,3.3,3.4,"1,434,487",-0.05
20-Aug-2025,3.4,3.44,3.27,3.33,"2,360,969",-0.07
21-Aug-2025,3.3,3.45,3.23,3.32,"2,226,436",-0.01
22-Aug-2025,3.32,3.44,3.21,3.3,"1,261,403",-0.02
25-Aug-2025,3.23,3.47,3.23,3.32,"1,538,943",0.02
26-Aug-2025,3.33,3.42,3.27,3.33,"830,295",0.01
27-Aug-2025,3.2,3.95,3.2,3.46,"22,755,526",0.13
28-Aug-2025,3.48,3.85,3.39,3.59,"9,385,765",0.13
29-Aug-2025,3.7,3.84,3.39,3.42,"7,706,709",-0.17
01-Sep-2025,3.57,4.3,3.57,4.01,"42,128,902",0.59
02-Sep-2025,4.19,4.23,3.81,3.85,"13,559,823",-0.16
03-Sep-2025,3.99,4.06,3.85,3.87,"8,748,493",0.02
04-Sep-2025,3.87,3.99,3.75,3.8,"1,982,891",-0.07
05-Sep-2025,3.85,3.88,3.71,3.76,"2,218,178",-0.04
08-Sep-2025,3.85,3.85,3.65,3.7,"1,989,988",-0.06
09-Sep-2025,3.51,3.74,3.51,3.65,"1,719,830",-0.05
10-Sep-2025,3.6,3.9,3.51,3.65,"2,169,837",0
11-Sep-2025,3.61,3.8,3.61,3.67,"1,689,076",0.02
12-Sep-2025,3.67,3.95,3.67,3.87,"5,325,197",0.2
15-Sep-2025,3.95,4.17,3.9,3.96,"8,828,889",0.09
16-Sep-2025,4,4.96,3.96,4.96,"60,436,983",1
17-Sep-2025,5.21,5.96,5.15,5.86,"94,000,448",0.9
18-Sep-2025,6.15,6.35,5.8,5.98,"48,834,103",0.12
19-Sep-2025,5.87,5.94,5.26,5.38,"16,923,950",-0.6
22-Sep-2025,5.4,5.8,5.01,5.4,"22,447,016",0.02
23-Sep-2025,5.52,5.7,5.1,5.13,"7,305,412",-0.27
24-Sep-2025,5.13,5.39,5.08,5.13,"3,955,332",0
25-Sep-2025,5.14,5.33,5.08,5.17,"3,702,217",0.04
26-Sep-2025,5.22,5.55,5.19,5.37,"11,695,798",0.2
29-Sep-2025,5.4,5.51,5.25,5.29,"2,992,900",-0.08
30-Sep-2025,5.3,5.42,5.11,5.13,"2,047,649",-0.16
01-Oct-2025,5.19,5.24,5.03,5.07,"2,210,701",-0.06
02-Oct-2025,5.14,5.14,4.81,4.97,"2,152,002",-0.1
03-Oct-2025,5,5,4.8,4.88,"2,761,518",-0.09
06-Oct-2025,4.97,4.98,4.72,4.78,"1,288,883",-0.1
07-Oct-2025,4.9,5.7,4.32,5.49,"16,457,207",0.71
08-Oct-2025,5.75,6.04,5.6,5.63,"23,940,746",0.14
09-Oct-2025,5.63,5.75,5.27,5.31,"8,149,177",-0.32
10-Oct-2025,5.48,5.75,5.15,5.32,"8,785,557",0.01
13-Oct-2025,5.02,5.65,5.02,5.12,"6,589,812",-0.2
14-Oct-2025,5.16,5.45,5.15,5.18,"2,445,962",0.06
15-Oct-2025,5.27,5.44,5.2,5.24,"2,660,154",0.06
16-Oct-2025,5.29,6.19,5.25,5.55,"34,632,317",0.31
17-Oct-2025,5.6,5.64,5.3,5.32,"4,374,926",-0.23
20-Oct-2025,5.32,5.54,5.29,5.39,"2,854,183",0.07
21-Oct-2025,5.4,5.49,5.26,5.3,"1,786,024",-0.09
22-Oct-2025,5.3,5.95,5,5.7,"10,602,093",0.4
23-Oct-2025,5.9,6.05,5.35,5.43,"13,356,775",-0.27
24-Oct-2025,5.63,5.63,5.2,5.24,"2,299,562",-0.19
27-Oct-2025,5.3,5.52,5.23,5.39,"2,448,449",0.15
28-Oct-2025,5.45,5.54,5,5.04,"2,828,188",-0.35
29-Oct-2025,5.17,5.17,4.81,4.84,"1,849,528",-0.2
30-Oct-2025,4.85,5.29,4.85,5,"2,197,502",0.16
31-Oct-2025,5.09,5.24,4.95,5.06,"1,758,552",0.06
03-Nov-2025,5.13,5.17,4.98,5.01,"2,118,489",-0.05
04-Nov-2025,5.15,5.15,4.86,4.89,"1,291,727",-0.12
05-Nov-2025,4.79,5.07,4.78,4.89,"1,003,642",0
06-Nov-2025,4.91,5.19,4.73,4.77,"2,850,793",-0.12
07-Nov-2025,4.78,4.94,4.7,4.73,"1,713,877",-0.04
10-Nov-2025,4.83,4.83,4.61,4.65,"2,231,069",-0.08
11-Nov-2025,4.65,4.79,4.37,4.42,"1,658,862",-0.23
12-Nov-2025,4.42,4.6,4.38,4.43,"627,362",0.01
13-Nov-2025,4.4,4.73,4.4,4.51,"1,492,384",0.08
14-Nov-2025,4.52,5.05,4.52,4.73,"3,114,677",0.22
17-Nov-2025,4.82,4.84,4.64,4.74,"789,946",0.01
18-Nov-2025,4.76,5,4.71,4.74,"970,683",0
19-Nov-2025,4.73,4.81,4.6,4.62,"449,581",-0.12
20-Nov-2025,4.5,4.8,4.5,4.64,"883,354",0.02
21-Nov-2025,4.65,4.74,4.4,4.55,"702,256",-0.09
24-Nov-2025,4.57,4.65,4.38,4.47,"710,727",-0.08
25-Nov-2025,4.54,4.59,4.35,4.37,"997,284",-0.1
