DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
02-May-2025,69.6,71.15,68.03,69.44,"13,169,594",2.39
05-May-2025,70,72.79,67.45,71.6,"23,586,230",2.16
06-May-2025,72,73.13,69.99,70.2,"15,288,695",-1.4
07-May-2025,66,71.01,65.55,67.09,"13,073,334",-3.11
08-May-2025,68.65,69.87,60.38,60.87,"19,535,579",-6.22
09-May-2025,61.06,65,59.9,63.32,"13,544,491",2.45
12-May-2025,69.65,69.65,69.65,69.65,"1,705,893",6.33
13-May-2025,72.9,76.62,72.15,75.92,"41,052,877",6.27
14-May-2025,75.92,77.5,74.8,75.31,"13,457,427",-0.61
15-May-2025,75.31,77.7,75,76.36,"11,528,406",1.05
16-May-2025,76.25,76.38,74.5,74.78,"4,428,001",-1.58
19-May-2025,74.67,75.4,73.45,73.79,"4,157,357",-0.99
20-May-2025,73.98,75.95,73.49,74.88,"7,592,783",1.09
21-May-2025,75.01,77,74.55,76.31,"8,047,779",1.43
22-May-2025,76.3,77.2,74.02,74.38,"7,086,047",-1.93
23-May-2025,74.38,74.89,73.75,74.56,"2,594,076",0.18
26-May-2025,74.6,75.2,73.99,74.4,"3,119,798",-0.16
27-May-2025,74.5,76.7,74.01,75.66,"8,938,381",1.26
29-May-2025,75.66,78.74,75.01,78.24,"13,662,263",2.58
30-May-2025,78.75,79.2,77.4,77.83,"5,099,419",-0.41
02-Jun-2025,77.72,77.72,74.35,74.77,"10,080,299",-3.06
03-Jun-2025,74.99,77.7,73.8,76.87,"10,931,044",2.1
04-Jun-2025,77.02,78.4,76.51,78.12,"7,447,046",1.25
05-Jun-2025,78.7,78.7,76.8,77.43,"6,113,981",-0.69
10-Jun-2025,77.78,78.3,76.62,77.29,"3,201,681",-0.14
11-Jun-2025,79.26,83.75,78.3,83.01,"23,693,667",5.72
12-Jun-2025,83.01,91.31,83,83.75,"40,260,789",0.74
13-Jun-2025,82.48,84.1,80,82.84,"21,044,118",-0.91
16-Jun-2025,83.45,87,81.4,82.54,"19,191,850",-0.3
17-Jun-2025,83.87,84.3,81.2,82.31,"9,876,896",-0.23
18-Jun-2025,83.52,83.7,81.25,81.76,"5,468,866",-0.55
19-Jun-2025,82,83.45,78.5,79.44,"5,915,219",-2.32
20-Jun-2025,80,81.7,79,81.35,"7,309,554",1.91
23-Jun-2025,80,81,74.9,76.33,"14,036,410",-5.02
24-Jun-2025,83,83.96,82.01,83.96,"15,534,495",7.63
25-Jun-2025,84.77,85.75,84,84.52,"11,139,830",0.56
26-Jun-2025,85,85.1,82.8,83.31,"5,237,439",-1.21
27-Jun-2025,83.49,86.47,83.41,85.46,"12,886,153",2.15
30-Jun-2025,85.55,86.2,83.9,84.28,"4,958,160",-1.18
01-Jul-2025,84.53,85,82.5,83.45,"11,369,739",-0.83
